,sample,collect_date,sample_type,sample_condition,sample_condition_abbrv,analyte,lab_name,result
684,RM_1.5_Kenai_City_Dock,7/27/2021,SMPL,NA,NA,"Magnesium, Total","ALS Environmental, Kelso, Washington",66.9
800,RM_10,5/11/2021,PS,NA,NA,Total suspended solids,"Soldotna Wastewater Treatment Plant, Soldotna, Alaska",27
824,RM_10,7/27/2021,PS,NA,NA,Total suspended solids,"Soldotna Wastewater Treatment Plant, Soldotna, Alaska",4.3
801,RM_10.1,5/11/2021,PS,NA,NA,Total suspended solids,"Soldotna Wastewater Treatment Plant, Soldotna, Alaska",14
825,RM_10.1,7/27/2021,PS,NA,NA,Total suspended solids,"Soldotna Wastewater Treatment Plant, Soldotna, Alaska",16.7
309,RM_10.1_Kenai_River,7/27/2021,PS,NA,NA,Total Nitrate/Nitrite-N,"SGS North America, Anchorage, Alaska",NA
310,RM_10.1_Kenai_River,7/27/2021,PS,NA,NA,Total Phosphorus,"SGS North America, Anchorage, Alaska",NA
311,RM_10.1_Kenai_River,7/27/2021,PS,NA,NA,Aluminum,"SGS North America, Anchorage, Alaska",NA
312,RM_10.1_Kenai_River,7/27/2021,PS,NA,NA,Antimony,"SGS North America, Anchorage, Alaska",NA
313,RM_10.1_Kenai_River,7/27/2021,PS,NA,NA,Arsenic,"SGS North America, Anchorage, Alaska",NA
314,RM_10.1_Kenai_River,7/27/2021,PS,NA,NA,Barium,"SGS North America, Anchorage, Alaska",8.79
315,RM_10.1_Kenai_River,7/27/2021,PS,NA,NA,Beryllium,"SGS North America, Anchorage, Alaska",NA
316,RM_10.1_Kenai_River,7/27/2021,PS,NA,NA,Cadmium,"SGS North America, Anchorage, Alaska",NA
317,RM_10.1_Kenai_River,7/27/2021,PS,NA,NA,Calcium,"SGS North America, Anchorage, Alaska",14000
318,RM_10.1_Kenai_River,7/27/2021,PS,NA,NA,Chromium,"SGS North America, Anchorage, Alaska",NA
319,RM_10.1_Kenai_River,7/27/2021,PS,NA,NA,Cobalt,"SGS North America, Anchorage, Alaska",NA
320,RM_10.1_Kenai_River,7/27/2021,PS,NA,NA,Copper,"SGS North America, Anchorage, Alaska",NA
321,RM_10.1_Kenai_River,7/27/2021,PS,NA,NA,Iron,"SGS North America, Anchorage, Alaska",NA
322,RM_10.1_Kenai_River,7/27/2021,PS,NA,NA,Lead,"SGS North America, Anchorage, Alaska",NA
323,RM_10.1_Kenai_River,7/27/2021,PS,NA,NA,Magnesium,"SGS North America, Anchorage, Alaska",988
324,RM_10.1_Kenai_River,7/27/2021,PS,NA,NA,Manganese,"SGS North America, Anchorage, Alaska",2.11
325,RM_10.1_Kenai_River,7/27/2021,PS,NA,NA,Molybdenum,"SGS North America, Anchorage, Alaska",NA
326,RM_10.1_Kenai_River,7/27/2021,PS,NA,NA,Nickel,"SGS North America, Anchorage, Alaska",NA
327,RM_10.1_Kenai_River,7/27/2021,PS,NA,NA,Phosphorus,"SGS North America, Anchorage, Alaska",NA
328,RM_10.1_Kenai_River,7/27/2021,PS,NA,NA,Potassium,"SGS North America, Anchorage, Alaska",826
329,RM_10.1_Kenai_River,7/27/2021,PS,NA,NA,Selenium,"SGS North America, Anchorage, Alaska",NA
330,RM_10.1_Kenai_River,7/27/2021,PS,NA,NA,Silicon,"SGS North America, Anchorage, Alaska",1550
331,RM_10.1_Kenai_River,7/27/2021,PS,NA,NA,Silver,"SGS North America, Anchorage, Alaska",NA
332,RM_10.1_Kenai_River,7/27/2021,PS,NA,NA,Sodium,"SGS North America, Anchorage, Alaska",1420
333,RM_10.1_Kenai_River,7/27/2021,PS,NA,NA,Thallium,"SGS North America, Anchorage, Alaska",NA
334,RM_10.1_Kenai_River,7/27/2021,PS,NA,NA,Tin,"SGS North America, Anchorage, Alaska",NA
335,RM_10.1_Kenai_River,7/27/2021,PS,NA,NA,Titanium,"SGS North America, Anchorage, Alaska",NA
336,RM_10.1_Kenai_River,7/27/2021,PS,NA,NA,Vanadium,"SGS North America, Anchorage, Alaska",NA
337,RM_10.1_Kenai_River,7/27/2021,PS,NA,NA,Zinc,"SGS North America, Anchorage, Alaska",10.6
775,RM_10.1_Kenai_River,7/27/2021,PS,NA,NA,Fecal Coliform,"Taurianen Engineering and Testing, Soldotna, Alaska",NA
691,RM_10.1_Kenai_River,7/27/2021,SMPL,NA,NA,"Calcium, Total","ALS Environmental, Kelso, Washington",11.8
692,RM_10.1_Kenai_River,7/27/2021,SMPL,NA,NA,"Iron, Total","ALS Environmental, Kelso, Washington",0.37
693,RM_10.1_Kenai_River,7/27/2021,SMPL,NA,NA,"Magnesium, Total","ALS Environmental, Kelso, Washington",1.1
280,RM_10_Beaver_Creek,7/27/2021,PS,NA,NA,Total Nitrate/Nitrite-N,"SGS North America, Anchorage, Alaska",NA
281,RM_10_Beaver_Creek,7/27/2021,PS,NA,NA,Total Phosphorus,"SGS North America, Anchorage, Alaska",0.0586
282,RM_10_Beaver_Creek,7/27/2021,PS,NA,NA,Aluminum,"SGS North America, Anchorage, Alaska",NA
283,RM_10_Beaver_Creek,7/27/2021,PS,NA,NA,Antimony,"SGS North America, Anchorage, Alaska",NA
284,RM_10_Beaver_Creek,7/27/2021,PS,NA,NA,Arsenic,"SGS North America, Anchorage, Alaska",NA
285,RM_10_Beaver_Creek,7/27/2021,PS,NA,NA,Barium,"SGS North America, Anchorage, Alaska",13
286,RM_10_Beaver_Creek,7/27/2021,PS,NA,NA,Beryllium,"SGS North America, Anchorage, Alaska",NA
287,RM_10_Beaver_Creek,7/27/2021,PS,NA,NA,Cadmium,"SGS North America, Anchorage, Alaska",NA
288,RM_10_Beaver_Creek,7/27/2021,PS,NA,NA,Calcium,"SGS North America, Anchorage, Alaska",20100
289,RM_10_Beaver_Creek,7/27/2021,PS,NA,NA,Chromium,"SGS North America, Anchorage, Alaska",NA
290,RM_10_Beaver_Creek,7/27/2021,PS,NA,NA,Cobalt,"SGS North America, Anchorage, Alaska",NA
291,RM_10_Beaver_Creek,7/27/2021,PS,NA,NA,Copper,"SGS North America, Anchorage, Alaska",NA
292,RM_10_Beaver_Creek,7/27/2021,PS,NA,NA,Iron,"SGS North America, Anchorage, Alaska",1020
293,RM_10_Beaver_Creek,7/27/2021,PS,NA,NA,Lead,"SGS North America, Anchorage, Alaska",NA
294,RM_10_Beaver_Creek,7/27/2021,PS,NA,NA,Magnesium,"SGS North America, Anchorage, Alaska",3860
295,RM_10_Beaver_Creek,7/27/2021,PS,NA,NA,Manganese,"SGS North America, Anchorage, Alaska",170
296,RM_10_Beaver_Creek,7/27/2021,PS,NA,NA,Molybdenum,"SGS North America, Anchorage, Alaska",NA
297,RM_10_Beaver_Creek,7/27/2021,PS,NA,NA,Nickel,"SGS North America, Anchorage, Alaska",NA
298,RM_10_Beaver_Creek,7/27/2021,PS,NA,NA,Phosphorus,"SGS North America, Anchorage, Alaska",NA
299,RM_10_Beaver_Creek,7/27/2021,PS,NA,NA,Potassium,"SGS North America, Anchorage, Alaska",1300
300,RM_10_Beaver_Creek,7/27/2021,PS,NA,NA,Selenium,"SGS North America, Anchorage, Alaska",NA
301,RM_10_Beaver_Creek,7/27/2021,PS,NA,NA,Silicon,"SGS North America, Anchorage, Alaska",10300
302,RM_10_Beaver_Creek,7/27/2021,PS,NA,NA,Silver,"SGS North America, Anchorage, Alaska",NA
303,RM_10_Beaver_Creek,7/27/2021,PS,NA,NA,Sodium,"SGS North America, Anchorage, Alaska",5090
304,RM_10_Beaver_Creek,7/27/2021,PS,NA,NA,Thallium,"SGS North America, Anchorage, Alaska",NA
305,RM_10_Beaver_Creek,7/27/2021,PS,NA,NA,Tin,"SGS North America, Anchorage, Alaska",NA
306,RM_10_Beaver_Creek,7/27/2021,PS,NA,NA,Titanium,"SGS North America, Anchorage, Alaska",NA
307,RM_10_Beaver_Creek,7/27/2021,PS,NA,NA,Vanadium,"SGS North America, Anchorage, Alaska",NA
308,RM_10_Beaver_Creek,7/27/2021,PS,NA,NA,Zinc,"SGS North America, Anchorage, Alaska",39.2
776,RM_10_Beaver_Creek,7/27/2021,PS,NA,NA,Fecal Coliform,"Taurianen Engineering and Testing, Soldotna, Alaska",56
688,RM_10_Beaver_Creek,7/27/2021,SMPL,NA,NA,"Calcium, Total","ALS Environmental, Kelso, Washington",17.3
689,RM_10_Beaver_Creek,7/27/2021,SMPL,NA,NA,"Iron, Total","ALS Environmental, Kelso, Washington",2.17
690,RM_10_Beaver_Creek,7/27/2021,SMPL,NA,NA,"Magnesium, Total","ALS Environmental, Kelso, Washington",3.96
802,RM_12.5,5/11/2021,PS,NA,NA,Total suspended solids,"Soldotna Wastewater Treatment Plant, Soldotna, Alaska",10
826,RM_12.5,7/27/2021,PS,NA,NA,Total suspended solids,"Soldotna Wastewater Treatment Plant, Soldotna, Alaska",14.7
338,RM_12.5_Pillars,7/27/2021,PS,NA,NA,Total Nitrate/Nitrite-N,"SGS North America, Anchorage, Alaska",NA
339,RM_12.5_Pillars,7/27/2021,PS,NA,NA,Total Phosphorus,"SGS North America, Anchorage, Alaska",NA
340,RM_12.5_Pillars,7/27/2021,PS,NA,NA,Aluminum,"SGS North America, Anchorage, Alaska",NA
341,RM_12.5_Pillars,7/27/2021,PS,NA,NA,Antimony,"SGS North America, Anchorage, Alaska",NA
342,RM_12.5_Pillars,7/27/2021,PS,NA,NA,Arsenic,"SGS North America, Anchorage, Alaska",NA
343,RM_12.5_Pillars,7/27/2021,PS,NA,NA,Barium,"SGS North America, Anchorage, Alaska",8.36
344,RM_12.5_Pillars,7/27/2021,PS,NA,NA,Beryllium,"SGS North America, Anchorage, Alaska",NA
345,RM_12.5_Pillars,7/27/2021,PS,NA,NA,Cadmium,"SGS North America, Anchorage, Alaska",NA
346,RM_12.5_Pillars,7/27/2021,PS,NA,NA,Calcium,"SGS North America, Anchorage, Alaska",13300
347,RM_12.5_Pillars,7/27/2021,PS,NA,NA,Chromium,"SGS North America, Anchorage, Alaska",NA
348,RM_12.5_Pillars,7/27/2021,PS,NA,NA,Cobalt,"SGS North America, Anchorage, Alaska",NA
349,RM_12.5_Pillars,7/27/2021,PS,NA,NA,Copper,"SGS North America, Anchorage, Alaska",NA
350,RM_12.5_Pillars,7/27/2021,PS,NA,NA,Iron,"SGS North America, Anchorage, Alaska",NA
351,RM_12.5_Pillars,7/27/2021,PS,NA,NA,Lead,"SGS North America, Anchorage, Alaska",NA
352,RM_12.5_Pillars,7/27/2021,PS,NA,NA,Magnesium,"SGS North America, Anchorage, Alaska",919
353,RM_12.5_Pillars,7/27/2021,PS,NA,NA,Manganese,"SGS North America, Anchorage, Alaska",1.53
